id,name_zh,name_en,family,classification_level,card,profile_status,source_sha256
M01,水彩,Watercolor,wet_paint,visual_medium,cards/M01__watercolor.jpeg,pilot,4c037891f601359a478001674ed89c83bca9ba409c17b90db99858a89b90a473
M02,水粉,Gouache,wet_paint,visual_medium,cards/M02__gouache.png,pilot,6a9f859f17adf183e6e60c20c4f2570ff5c91e9bf2d41482d8a16a2afc92be1e
M03,廣告顏料,Poster Color,wet_paint,visual_medium,cards/M03__poster_color.png,pending,7968b1e9d1d7b905dd8fbe96351138f3e1db1e362e78acec5de3b32047fb1a2c
M04,壓克力,Acrylic,wet_paint,visual_medium,cards/M04__acrylic.png,pending,15e6e6b5c0d1c75de072759638b4d47886a872ee464e76c6deb1b57655c328a9
M05,油畫,Oil Paint,wet_paint,visual_medium,cards/M05__oil_paint.png,pending,8c244eb2e214bfaff5389a5e0c6de512c1cd79d83d91f3b9006dc0c952f00659
M06,蛋彩,Egg Tempera,wet_paint,visual_medium,cards/M06__egg_tempera.png,pilot,159c0f8d091dfd70b27a4cd244aa96620344ede1b6c9206c68061f9ebaacbaf2
M07,水墨,Ink Wash,drawing_ink,visual_medium,cards/M07__ink_wash.png,pending,f0258f512e43dc0fddea2aaecd765e5a2d187b66da0eddd9b2d86f7095ad016c
M08,鋼筆墨水,Fountain Pen Ink,drawing_ink,visual_medium,cards/M08__fountain_pen_ink.png,pending,ddbcf1678b40b842b0dd5119b250387f7fc501e0f59cd2bb9c5fa425a76d7a5b
M09,噴漆,Spray Paint,sprayed_color,visual_medium,cards/M09__spray_paint.png,pending,6c1802aebfbcb99715d15bc6a7aa769767fbd399ba0a58ab5866194b1a6a2bbf
M10,噴槍,Airbrush,sprayed_color,visual_medium,cards/M10__airbrush.png,pending,27313423836cc7814dc96826fcc56665d585a30f4ef89ef8b399081e1b3e51ce
M11,蠟染,Batik,craft_surface,visual_medium,cards/M11__batik.png,pending,39999d01416f507767520e60c6d644a359898da3c0799de1bac4d6d7d286a6aa
M12,琺瑯彩,Enamel,craft_surface,visual_medium,cards/M12__enamel.png,pending,8757838c4bc2479e8683d06cf6c6388b75d789d7eac3be65cc6bebc6d61da94d
M13,濕壁畫,Buon Fresco,wall_surface,visual_medium,cards/M13__buon_fresco.png,pending,bb0a1412855cf353e72f808f9dfe20e3934958ff88d7c6c6236be1418ce74d12
M14,生漆／漆畫,Urushi,craft_surface,visual_medium,cards/M14__urushi.png,pending,b7d3df7e7767c222976477afa345b1ab2d746d31930299432933fee5f823e0e9
M15,粉筆,Chalk,dry_drawing,visual_medium,cards/M15__chalk.png,pending,062e84eee46220eacf51034d1dff8db2460a765c1946ff1537fe3e6780f88461
M16,炭筆,Charcoal,dry_drawing,visual_medium,cards/M16__charcoal.png,pending,21828efe9d4bb611e9eaa172391f34c659988b2d63786005e0281805a81541c5
M17,色鉛筆,Colored Pencil,dry_drawing,visual_medium,cards/M17__colored_pencil.png,pilot,fa345fb7de8fdf4426f15c9190cc91d091af23593eba2e05827ee67d84b823f9
M18,蠟筆,Wax Crayon,dry_drawing,visual_medium,cards/M18__wax_crayon.png,pending,06fa454b795f0520c7a20cf204cf74e3caa23e11632a16d4507c52317e86d12e
M19,軟性粉彩,Soft Pastel,dry_drawing,visual_medium,cards/M19__soft_pastel.png,pending,12d222aa49a43c0cedc68bd2ecfe3ec4380ef59ffc89eed486c15604d5a75658
M20,油性粉彩,Oil Pastel,dry_drawing,visual_medium,cards/M20__oil_pastel.png,pending,2877cdc58a36533eeaac161f7a42fbf554d59357ae7312cf6ebfba64c1e20edb
M21,粉彩筆,Pastel Pencil,dry_drawing,visual_medium,cards/M21__pastel_pencil.png,pending,58c2c47197c90a123cbb91619ae1e8a7ada1180a91fb87b91e26dc9f84650eb4
M22,石墨鉛筆,Graphite,dry_drawing,visual_medium,cards/M22__graphite.png,pilot,ceaf5481799b2c4291cc57d178e646bcb993640585d7a78ebb4629950a8119be
M23,康特筆,Conte,dry_drawing,visual_medium,cards/M23__conte.png,pending,9a1ce686a083ff4cfc2cf8196534f24692bc71681cc28568b82c9fcfd34637eb
M24,銀尖筆,Silverpoint,metalpoint,visual_medium,cards/M24__silverpoint.png,pending,eb6383c0e3b651258a25be7949cb2003cde12d9e962925d8dd3687f955e54088
M25,蠟畫,Encaustic,wax_medium,visual_medium,cards/M25__encaustic.png,pending,a2ed408ff179a5c26bc6613e5a3e14cb6ab0acee9eebaa6f95641847fdf116fb
M26,木刻,Woodcut,printmaking,visual_medium,cards/M26__woodcut.png,pending,1c2159ff1f1d871f727735c97dfdbde5983a03e071706dbda52a3a0333b33894
M27,絲網印刷,Screen Printing,printmaking,visual_medium,cards/M27__screen_printing.png,pending,23ee3aa1c0f2272742c1a87a944b2954bb51b10d724bafc1ca65f633f0fe7375
M28,蝕刻,Etching,printmaking,visual_medium,cards/M28__etching.png,pending,13a0e42c74ed01e363ceeb649c5e01eb371507e8d62cb2067d38c2b6c41cfa62
M29,石版畫,Lithography,printmaking,visual_medium,cards/M29__lithography.png,pending,97b8ece3b1e280dd922c7a60bc2f061e5fb06e34814eb04cc9a941c7894efb5b
M30,單刷版畫,Monotype,printmaking,visual_medium,cards/M30__monotype.png,pending,1e47e46e1db6d7808c23418f05150bcf4ca96951f964699c6d2c84656f043b2b
M31,拼貼,Collage,assembled_surface,visual_medium,cards/M31__collage.png,pending,172e83a2d72641539198d888b70e55e5e45729027df41bf95d2eee0489778680
M32,金箔貼金,Gilding,craft_surface,visual_medium,cards/M32__gilding.png,pending,4c07feb81ad85a62b1daa5a89493e11d022ac057652ccd457602d27daa29c221
M33,馬賽克,Mosaic,assembled_surface,visual_medium,cards/M33__mosaic.png,pending,f13c85f1790b30e923e64ded3f3bb7ab85ba9dba5dcdadfa93c1d014cfe79f5d
M34,沙畫,Sand Painting,granular_surface,visual_medium,cards/M34__sand_painting.png,pending,d552ab8d9f9391fd1fecd75bda6e73eac41599fafb2da3d9e5bc9303513bdbd6
M35,刮畫,Scratchboard,drawing_surface,visual_medium,cards/M35__scratchboard.png,pending,70cf5c7a7f1ee4e5aeeba9533756d33986b46b17b016509fe46149cb186d64d3
M36,麥克筆,Marker,drawing_ink,visual_medium,cards/M36__marker.png,pending,9125bfeb360117b22c438f33eadb80c16f243c54c36c1fa04deee509ed6612f8
M37,毛筆／書法,Brush Ink,drawing_ink,visual_medium,cards/M37__brush_ink.png,pending,ccedaeb324129ecce27c6595015931070890de2ffc39ab8ae3817c575bfa11d7
M38,原子筆,Ballpoint Pen,drawing_ink,visual_medium,cards/M38__ballpoint_pen.png,pending,1ddce6bb7d70ee5ba1b27cc0bbe1df80ece9aedf7258f99b28edadc33aacc803
M39,針管筆,Technical Pen,drawing_ink,visual_medium,cards/M39__technical_pen.png,pilot,5580ac7200ab5452ee5dad2ee5b690446b4451994c17928ad643b032ce3d359f
M40,印度墨,India Ink,drawing_ink,visual_medium,cards/M40__india_ink.png,pilot,22aec740be787e47f2cabce5b6d11920bb191b2f312e92040681a08ae105bc4d
M41,壓克力墨水,Acrylic Ink,drawing_ink,visual_medium,cards/M41__acrylic_ink.png,pending,42b0f80bf8da01c79f70d7bb00d81e03c2c5e62823c303f75d0afd344f7a3c29
M42,酒精墨水,Alcohol Ink,fluid_ink,visual_medium,cards/M42__alcohol_ink.png,pending,a00f78184d645c4402abf0ba1ed6e98f53492ceccb34916d549bbd115bb40213
M43,酪蛋白顏料,Casein Paint,wet_paint,visual_medium,cards/M43__casein_paint.png,pilot,032beca2962ee1c7ab8e9ce5730f73727503f6d0de54eb3f00f20b8d70d95097
M44,膠彩／動物膠彩,Distemper,wet_paint,visual_medium,cards/M44__distemper.png,pending,ca4e6efd802cebf6f83cd320474165c59e8d00937393d0bcecb7b11b835ae164
M45,油氈版畫,Linocut,printmaking,visual_medium,cards/M45__linocut.png,pending,92a4b9fae4ade073fe63380dca96167185da3775604d7b9f34d24dc9a350a829
M46,乾刻,Drypoint,printmaking,visual_medium,cards/M46__drypoint.png,pending,3f2075a881756bbd2e610606fb560cd579fe5f88444adf355f3d66b20cc67cea
M47,飛塵腐蝕,Aquatint,printmaking,visual_medium,cards/M47__aquatint.png,pending,632eaa979ba599f9783b9ca595a1dbeb49163104e20a33c26ddf665f996e5fcc
M48,美柔汀,Mezzotint,printmaking,visual_medium,cards/M48__mezzotint.png,pending,1dcfe9404103e229fe2488145a2491394379cb565ed09a9984248ab6a05be785
M49,拼貼版畫,Collagraph,printmaking,visual_medium,cards/M49__collagraph.png,pending,3366d86d4b05ba6c732c4be54ece1967bcc27ec33695ef5b06c98efd19e7fd2a
M50,孔版印刷,Risograph,printmaking,visual_medium,cards/M50__risograph.png,pilot,588fdc3915a38ed4c5f1d6bebdbf0cd2d6e5812a894ef44e59af609307c25dd5
M51,藍曬,Cyanotype,photographic,visual_medium,cards/M51__cyanotype.png,pending,a8322b2124ca0dd8e8aea57df57dbdc5c351caa7988ca29b8af8432d706f2185
M52,剪紙,Paper Cut,craft_surface,visual_medium,cards/M52__paper_cut.png,pending,79e3cf7bbf5f3bdb79a1eb7741b0785701f9f89ac0326c252a40ee6098c5b324
M53,刺繡,Embroidery,textile,visual_medium,cards/M53__embroidery.png,pending,adf0a741aaef105bf09c3e7a260f3de946aa4285f6a8fdc7a38cf167e9e2b424
M54,彩繪玻璃,Stained Glass,craft_surface,visual_medium,cards/M54__stained_glass.png,pending,b564f38a3349ffff568a8100f2826d57d4d95ef8eff3bbaeb60a91e74c4fcd45
M55,墨流／浮水染,Suminagashi,marbling,visual_medium,cards/M55__suminagashi.png,pending,415d5559fe8b4594acf8a1a075c08a13a25e034866477ce035562813f36263f4
M56,土耳其浮水畫,Ebru,marbling,visual_medium,cards/M56__ebru.png,pending,e75d36783b5ed6b7e296af51dca6bbf8cf1f9db0cb33108dd7c5c7bd80a5f549
M57,澱粉糊染紙,Paste Paper,decorated_paper,visual_medium,cards/M57__paste_paper.png,pending,bcdf4c9ca3a54c580c96d60f84e90bf0de6088b37277eedb3c675f22b73494b6
M58,拓印,Frottage,transfer_texture,visual_medium,cards/M58__frottage.png,pending,68ef0149d6908d4be59eec7e83aee78e03feb799a5182f330f916c346f954ea8
M59,轉印畫,Decalcomania,transfer_texture,visual_medium,cards/M59__decalcomania.png,pending,992248f855ddc74b1c73dc435cce5f7e33d931978a7cb16fa387052d594b1966
M60,鏤空／模板畫,Stencil,printmaking,visual_medium,cards/M60__stencil.png,pending,4d591d500087ea492f3668c91493ac02f401e5a115a8ecbc6e2d461b79af03b0
M61,橡皮章,Rubber Stamp,printmaking,visual_medium,cards/M61__rubber_stamp.png,pending,e2ed0e411c6e7edd9e5ae1086943d9aa4d04702b13ae9ffb01d2f9f74320d6d3
M62,活版印刷,Letterpress,printmaking,visual_medium,cards/M62__letterpress.png,pending,01d2d7deab904d31a4011e895fe0d4a9ef0a4e09d9956a12790ae365c70db947
M63,凝膠版畫,Gel Plate Printing,printmaking,visual_medium,cards/M63__gel_plate_printing.png,pending,1b7d0e2f88a272a6ee8c1cf76e32730c0b3011e7ee448f89c3f3f35d3ef2d7a7
M64,魚拓,Gyotaku,transfer_texture,visual_medium,cards/M64__gyotaku.png,pending,5198989192678e30a5109458032113e803072f5b565b0a3ced84d117944e875c
M65,植物直接拓印,Nature Printing,transfer_texture,visual_medium,cards/M65__nature_printing.png,pending,80869750902ee64bed68afb62b00c8ca35cff3d79e56c0e6fb4917fc5fe5998d
M66,鹽紙印相,Salt Print,photographic,visual_medium,cards/M66__salt_print.png,pending,f4f81631a34f90d9bcc23cf3cf309995fca1647730204b34e0e0974f42cec8ec
M67,蛋白印相,Albumen Print,photographic,visual_medium,cards/M67__albumen_print.png,pending,09bb0ad8ec92cc6b1a25ae613141af4baff98622becd1767fe38d4783985b66d
M68,梵戴克棕印相,Van Dyke Brown,photographic,visual_medium,cards/M68__van_dyke_brown.png,pending,3d64078d5a82629286156cd8db6612f83ee8596d77ff7379887f840d9bd29dc9
M69,鉑鈀印相,Platinum-Palladium Print,photographic,visual_medium,cards/M69__platinum_palladium_print.png,pilot,6705837a86ee1f622705cad85bad65f2154be0f17d861f77e513967b89e0bfdc
M70,重鉻酸膠印,Gum Bichromate,photographic,visual_medium,cards/M70__gum_bichromate.png,pending,b069e6aa1bbd708536ece70e277b7e7230a958fc4c5f973c5a2f1188a2bd7006
M71,照相凹版,Heliogravure,photographic,visual_medium,cards/M71__heliogravure.png,pending,eb7a2e8e306a0e884afdcbf26a19e510ff490f70a525e6c58b75726f0650ea6d
M72,藝術微噴,Giclee,digital_output,output_method,cards/M72__giclee.png,pending,6911788334505617fa8a8da1042f783b5469bca99a234ff6c65db5a07ef1f47e
M73,點陣數位繪畫,Raster Painting,digital_creation,digital_method,cards/M73__raster_painting.png,pilot,e75af631005e48671ee22eb7b68484101ce5b6c910820127d3882fef28e4d10d
M74,向量插畫,Vector Illustration,digital_creation,digital_method,cards/M74__vector_illustration.png,pilot,bfbbf2830c16a73253190d799f7a33f6b070a4b82aec5f8b01698a10717615e0
M75,像素藝術,Pixel Art,digital_creation,digital_method,cards/M75__pixel_art.png,pending,757b2ef545895ebc41b905b30eb28fd316220a990e9bd58de04c104df9450e85
